dataset,version,variable,units,scene,bbox,resolution_deg,first_date,last_date,n_days,gaps,status,s3_zarr
chirps-v3,v3.0,precip_sat,mm/day,brasil_centro_sudeste,"-62.0,-26.0,-38.0,-14.0",0.05,2000-01-01,2003-12-31,1461,0,parcial,s3://suyana-tiles/chirps/v3.0/brasil_centro_sudeste.zarr
chirps-v3,v3.0,precip_rnl,mm/day,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.05,1981-01-01,2003-12-31,8400,0,parcial,s3://suyana-tiles/chirps/v3.0/brasil_sur.zarr
chirps-v3,v3.0,precip_sat,mm/day,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.05,2000-01-01,2003-09-22,1361,0,parcial,s3://suyana-tiles/chirps/v3.0/brasil_sur.zarr
chirps-v3,v3.0,precip_rnl,mm/day,paraguay,"-64.0,-28.0,-53.0,-18.0",0.05,1981-01-01,2002-12-31,8035,0,parcial,s3://suyana-tiles/chirps/v3.0/paraguay.zarr
chirps-v3,v3.0,precip_sat,mm/day,paraguay,"-64.0,-28.0,-53.0,-18.0",0.05,2000-01-01,2002-12-31,1096,0,parcial,s3://suyana-tiles/chirps/v3.0/paraguay.zarr
chirps-v3,v3.0,precip_rnl,mm/day,uruguay,"-60.0,-38.0,-50.0,-29.0",0.05,1981-01-01,2002-12-31,8035,0,parcial,s3://suyana-tiles/chirps/v3.0/uruguay.zarr
chirps-v3,v3.0,precip_sat,mm/day,uruguay,"-60.0,-38.0,-50.0,-29.0",0.05,2000-01-01,2002-12-31,1096,0,parcial,s3://suyana-tiles/chirps/v3.0/uruguay.zarr
chirps-v3,v3.0,precip_rnl,mm/day,chile_norte_centro,"-77.0,-40.0,-66.0,-17.0",0.05,1981-01-01,2002-12-31,8035,0,parcial,s3://suyana-tiles/chirps/v3.0/chile_norte_centro.zarr
chirps-v3,v3.0,precip_sat,mm/day,chile_norte_centro,"-77.0,-40.0,-66.0,-17.0",0.05,2000-01-01,2002-12-31,1096,0,parcial,s3://suyana-tiles/chirps/v3.0/chile_norte_centro.zarr
chirps-v3,v3.0,precip_rnl,mm/day,argentina_norte,"-70.0,-43.0,-52.0,-21.0",0.05,1981-01-01,2002-12-31,8035,0,parcial,s3://suyana-tiles/chirps/v3.0/argentina_norte.zarr
chirps-v3,v3.0,precip_sat,mm/day,argentina_norte,"-70.0,-43.0,-52.0,-21.0",0.05,2000-01-01,2002-12-31,1096,0,parcial,s3://suyana-tiles/chirps/v3.0/argentina_norte.zarr
chirps-v3,v3.0,precip_rnl,mm/day,patagonia,"-77.0,-57.0,-56.0,-40.0",0.05,1981-01-01,2002-12-31,8035,0,parcial,s3://suyana-tiles/chirps/v3.0/patagonia.zarr
chirps-v3,v3.0,precip_sat,mm/day,patagonia,"-77.0,-57.0,-56.0,-40.0",0.05,2000-01-01,2002-12-31,1096,0,parcial,s3://suyana-tiles/chirps/v3.0/patagonia.zarr
chirts,v1.0,tmax,degC,mexico_norte,"-122.0,20.0,-96.0,35.0",0.05,1983-01-01,2016-12-31,12403,0,parcial,s3://suyana-tiles/chirts/v1.0/mexico_norte.zarr
chirts,v1.0,tmin,degC,mexico_norte,"-122.0,20.0,-96.0,35.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/mexico_norte.zarr
chirts,v1.0,tmax,degC,mexico_sur,"-107.0,13.0,-84.0,23.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/mexico_sur.zarr
chirts,v1.0,tmin,degC,mexico_sur,"-107.0,13.0,-84.0,23.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/mexico_sur.zarr
chirts,v1.0,tmax,degC,centroamerica,"-95.0,4.0,-76.0,19.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/centroamerica.zarr
chirts,v1.0,tmin,degC,centroamerica,"-95.0,4.0,-76.0,19.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/centroamerica.zarr
chirts,v1.0,tmax,degC,antillas_mayores,"-86.0,15.0,-63.0,28.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/antillas_mayores.zarr
chirts,v1.0,tmin,degC,antillas_mayores,"-86.0,15.0,-63.0,28.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/antillas_mayores.zarr
chirts,v1.0,tmax,degC,antillas_menores,"-66.0,8.0,-56.0,20.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/antillas_menores.zarr
chirts,v1.0,tmin,degC,antillas_menores,"-66.0,8.0,-56.0,20.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/antillas_menores.zarr
chirts,v1.0,tmax,degC,colombia,"-84.0,-5.0,-66.0,15.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/colombia.zarr
chirts,v1.0,tmin,degC,colombia,"-84.0,-5.0,-66.0,15.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/colombia.zarr
chirts,v1.0,tmax,degC,venezuela,"-74.0,0.0,-58.0,14.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/venezuela.zarr
chirts,v1.0,tmin,degC,venezuela,"-74.0,0.0,-58.0,14.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/venezuela.zarr
chirts,v1.0,tmax,degC,guayanas,"-62.0,1.0,-48.0,10.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/guayanas.zarr
chirts,v1.0,tmin,degC,guayanas,"-62.0,1.0,-48.0,10.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/guayanas.zarr
chirts,v1.0,tmax,degC,ecuador_galapagos,"-95.0,-6.0,-74.0,3.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/ecuador_galapagos.zarr
chirts,v1.0,tmin,degC,ecuador_galapagos,"-95.0,-6.0,-74.0,3.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/ecuador_galapagos.zarr
chirts,v1.0,tmax,degC,peru,"-90.0,-20.0,-68.0,1.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/peru.zarr
chirts,v1.0,tmin,degC,peru,"-90.0,-20.0,-68.0,1.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/peru.zarr
chirts,v1.0,tmax,degC,bolivia,"-71.0,-24.0,-56.0,-9.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/bolivia.zarr
chirts,v1.0,tmin,degC,bolivia,"-71.0,-24.0,-56.0,-9.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/bolivia.zarr
chirts,v1.0,tmax,degC,brasil_amazonia,"-74.0,-14.0,-49.0,6.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_amazonia.zarr
chirts,v1.0,tmin,degC,brasil_amazonia,"-74.0,-14.0,-49.0,6.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_amazonia.zarr
chirts,v1.0,tmax,degC,brasil_nordeste,"-49.0,-18.0,-32.0,0.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_nordeste.zarr
chirts,v1.0,tmin,degC,brasil_nordeste,"-49.0,-18.0,-32.0,0.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_nordeste.zarr
chirts,v1.0,tmax,degC,brasil_centro_sudeste,"-62.0,-26.0,-38.0,-14.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_centro_sudeste.zarr
chirts,v1.0,tmin,degC,brasil_centro_sudeste,"-62.0,-26.0,-38.0,-14.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_centro_sudeste.zarr
chirts,v1.0,tmax,degC,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_sur.zarr
chirts,v1.0,tmin,degC,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/brasil_sur.zarr
chirts,v1.0,tmax,degC,paraguay,"-64.0,-28.0,-53.0,-18.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/paraguay.zarr
chirts,v1.0,tmin,degC,paraguay,"-64.0,-28.0,-53.0,-18.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/paraguay.zarr
chirts,v1.0,tmax,degC,uruguay,"-60.0,-38.0,-50.0,-29.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/uruguay.zarr
chirts,v1.0,tmin,degC,uruguay,"-60.0,-38.0,-50.0,-29.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/uruguay.zarr
chirts,v1.0,tmax,degC,chile_norte_centro,"-77.0,-40.0,-66.0,-17.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/chile_norte_centro.zarr
chirts,v1.0,tmin,degC,chile_norte_centro,"-77.0,-40.0,-66.0,-17.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/chile_norte_centro.zarr
chirts,v1.0,tmax,degC,argentina_norte,"-70.0,-43.0,-52.0,-21.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/argentina_norte.zarr
chirts,v1.0,tmin,degC,argentina_norte,"-70.0,-43.0,-52.0,-21.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/argentina_norte.zarr
chirts,v1.0,tmax,degC,patagonia,"-77.0,-57.0,-56.0,-40.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/patagonia.zarr
chirts,v1.0,tmin,degC,patagonia,"-77.0,-57.0,-56.0,-40.0",0.05,1983-01-01,2016-12-31,12419,0,parcial,s3://suyana-tiles/chirts/v1.0/patagonia.zarr
cpc,v1.0,tmax,degC,mexico_norte,"-122.0,20.0,-96.0,35.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/mexico_norte.zarr
cpc,v1.0,tmin,degC,mexico_norte,"-122.0,20.0,-96.0,35.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/mexico_norte.zarr
cpc,v1.0,tmax,degC,mexico_sur,"-107.0,13.0,-84.0,23.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/mexico_sur.zarr
cpc,v1.0,tmin,degC,mexico_sur,"-107.0,13.0,-84.0,23.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/mexico_sur.zarr
cpc,v1.0,tmax,degC,centroamerica,"-95.0,4.0,-76.0,19.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/centroamerica.zarr
cpc,v1.0,tmin,degC,centroamerica,"-95.0,4.0,-76.0,19.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/centroamerica.zarr
cpc,v1.0,tmax,degC,antillas_mayores,"-86.0,15.0,-63.0,28.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/antillas_mayores.zarr
cpc,v1.0,tmin,degC,antillas_mayores,"-86.0,15.0,-63.0,28.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/antillas_mayores.zarr
cpc,v1.0,tmax,degC,antillas_menores,"-66.0,8.0,-56.0,20.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/antillas_menores.zarr
cpc,v1.0,tmin,degC,antillas_menores,"-66.0,8.0,-56.0,20.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/antillas_menores.zarr
cpc,v1.0,tmax,degC,colombia,"-84.0,-5.0,-66.0,15.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/colombia.zarr
cpc,v1.0,tmin,degC,colombia,"-84.0,-5.0,-66.0,15.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/colombia.zarr
cpc,v1.0,tmax,degC,venezuela,"-74.0,0.0,-58.0,14.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/venezuela.zarr
cpc,v1.0,tmin,degC,venezuela,"-74.0,0.0,-58.0,14.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/venezuela.zarr
cpc,v1.0,tmax,degC,guayanas,"-62.0,1.0,-48.0,10.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/guayanas.zarr
cpc,v1.0,tmin,degC,guayanas,"-62.0,1.0,-48.0,10.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/guayanas.zarr
cpc,v1.0,tmax,degC,ecuador_galapagos,"-95.0,-6.0,-74.0,3.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/ecuador_galapagos.zarr
cpc,v1.0,tmin,degC,ecuador_galapagos,"-95.0,-6.0,-74.0,3.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/ecuador_galapagos.zarr
cpc,v1.0,tmax,degC,peru,"-90.0,-20.0,-68.0,1.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/peru.zarr
cpc,v1.0,tmin,degC,peru,"-90.0,-20.0,-68.0,1.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/peru.zarr
cpc,v1.0,tmax,degC,bolivia,"-71.0,-24.0,-56.0,-9.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/bolivia.zarr
cpc,v1.0,tmin,degC,bolivia,"-71.0,-24.0,-56.0,-9.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/bolivia.zarr
cpc,v1.0,tmax,degC,brasil_amazonia,"-74.0,-14.0,-49.0,6.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_amazonia.zarr
cpc,v1.0,tmin,degC,brasil_amazonia,"-74.0,-14.0,-49.0,6.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_amazonia.zarr
cpc,v1.0,tmax,degC,brasil_nordeste,"-49.0,-18.0,-32.0,0.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_nordeste.zarr
cpc,v1.0,tmin,degC,brasil_nordeste,"-49.0,-18.0,-32.0,0.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_nordeste.zarr
cpc,v1.0,tmax,degC,brasil_centro_sudeste,"-62.0,-26.0,-38.0,-14.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_centro_sudeste.zarr
cpc,v1.0,tmin,degC,brasil_centro_sudeste,"-62.0,-26.0,-38.0,-14.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_centro_sudeste.zarr
cpc,v1.0,tmax,degC,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_sur.zarr
cpc,v1.0,tmin,degC,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/brasil_sur.zarr
cpc,v1.0,tmax,degC,paraguay,"-64.0,-28.0,-53.0,-18.0",0.5,1979-01-01,2026-08-30,17409,0,completo,s3://suyana-tiles/cpc/v1.0/paraguay.zarr
